record_id,product_id,production_date,quantity_produced,quantity_defective,production_line_id,shift_id,supervisor_id
R000033,P06878,2022-01-28,93,48,L033,SH33,SUP0033
R000034,P07409,2022-06-11,788,0,L034,SH34,SUP0034
R000035,P17002,2022-07-18,309,39,L035,SH35,SUP0035
R000036,P29026,2022-03-04,327,32,L036,SH36,SUP0036
R000037,P16775,2023-09-17,373,8,L037,SH37,SUP0037
R000038,P34956,2023-06-13,346,42,L038,SH38,SUP0038
R000039,P07542,2022-02-12,557,47,L039,SH39,SUP0039
R000040,P04804,2023-11-24,672,32,L040,SH40,SUP0040
R000041,P14159,2023-09-01,909,29,L041,SH41,SUP0041
R000042,P17514,2023-03-07,481,44,L042,SH42,SUP0042
R000043,P01124,2023-01-28,470,35,L043,SH43,SUP0043
R000044,P11506,2023-02-21,385,3,L044,SH44,SUP0044
R000045,P00005,2022-10-08,497,13,L045,SH45,SUP0045
R000046,P14215,2022-06-18,962,8,L046,SH46,SUP0046
R000047,P27659,2022-04-12,407,14,L047,SH47,SUP0047
R000048,P32319,2022-12-28,602,5,L048,SH48,SUP0048
R000049,P27092,2022-11-20,919,19,L049,SH49,SUP0049
R000050,P17995,2022-11-26,386,13,L050,SH50,SUP0050
R000051,P21294,2023-09-18,293,21,L051,SH51,SUP0051
R000052,P09375,2022-02-10,457,22,L052,SH52,SUP0052
R000053,P26179,2022-07-25,384,23,L053,SH53,SUP0053
R000054,P07730,2022-08-08,486,18,L054,SH54,SUP0054
R000055,P23602,2023-05-13,145,30,L055,SH55,SUP0055
R000056,P26359,2023-04-08,64,15,L056,SH56,SUP0056
R000057,P20971,2023-12-15,754,44,L057,SH57,SUP0057
R000058,P21903,2023-11-18,779,36,L058,SH58,SUP0058
R000059,P31501,2023-10-28,322,45,L059,SH59,SUP0059
R000060,P08839,2023-05-19,971,42,L060,SH60,SUP0060
R000061,P20496,2022-05-16,362,32,L061,SH61,SUP0061
R000062,P22461,2023-12-24,914,20,L062,SH62,SUP0062
R000063,P11430,2023-03-17,258,33,L063,SH63,SUP0063
R000064,P24872,2022-05-06,589,23,L064,SH64,SUP0064
R000065,P27072,2022-12-19,324,18,L065,SH65,SUP0065
R000066,P09638,2022-06-09,124,8,L066,SH66,SUP0066
R000067,P26309,2022-06-29,143,28,L067,SH67,SUP0067
R000068,P13403,2023-02-01,338,38,L068,SH68,SUP0068
R000069,P16632,2022-09-17,480,0,L069,SH69,SUP0069
R000070,P27676,2022-11-01,543,3,L070,SH70,SUP0070
R000071,P24125,2022-02-10,493,4,L071,SH71,SUP0071
R000072,P23508,2023-01-23,682,21,L072,SH72,SUP0072
R000073,P03945,2022-06-14,478,17,L073,SH73,SUP0073
R000074,P11423,2023-01-21,298,2,L074,SH74,SUP0074
R000075,P22812,2022-02-14,330,12,L075,SH75,SUP0075
R000076,P23986,2023-07-09,602,19,L076,SH76,SUP0076
R000077,P11293,2023-02-21,646,31,L077,SH77,SUP0077
R000078,P09946,2022-06-16,528,28,L078,SH78,SUP0078
R000079,P01490,2022-09-19,6,38,L079,SH79,SUP0079
R000080,P13965,2023-03-10,64,46,L080,SH80,SUP0080
R000081,P05534,2023-05-11,350,35,L081,SH81,SUP0081
R000082,P02627,2023-09-06,562,37,L082,SH82,SUP0082
R000083,P11012,2023-07-17,170,32,L083,SH83,SUP0083
R000084,P13978,2022-05-16,901,22,L084,SH84,SUP0084
R000085,P19216,2022-07-03,853,46,L085,SH85,SUP0085
R000086,P16914,2022-11-03,340,18,L086,SH86,SUP0086
R000087,P01047,2023-11-24,682,2,L087,SH87,SUP0087
R000088,P30351,2023-06-29,363,26,L088,SH88,SUP0088
R000089,P02066,2022-05-05,62,5,L089,SH89,SUP0089
R000090,P12630,2022-09-19,10,9,L090,SH90,SUP0090
R000091,P18107,2023-11-12,486,45,L091,SH91,SUP0091
R000092,P15011,2023-07-18,796,1,L092,SH92,SUP0092
R000093,P07712,2023-12-10,214,10,L093,SH93,SUP0093
R000094,P27759,2022-07-31,199,33,L094,SH94,SUP0094
R000095,P12839,2023-08-13,539,25,L095,SH95,SUP0095
R000096,P23162,2023-05-28,172,28,L096,SH96,SUP0096
R000097,P25110,2023-04-22,193,19,L097,SH97,SUP0097
R000098,P27286,2022-12-20,123,43,L098,SH98,SUP0098
R000099,P22599,2023-02-14,721,50,L099,SH99,SUP0099
R000100,P19718,2023-01-14,903,18,L100,SH100,SUP0100
R000101,P29297,2023-10-17,929,41,L101,SH101,SUP0101
R000102,P01330,2022-10-28,732,20,L102,SH102,SUP0102
R000103,P27594,2022-12-20,52,11,L103,SH103,SUP0103
R000104,P29181,2022-12-06,298,37,L104,SH104,SUP0104
R000105,P05122,2022-12-18,982,47,L105,SH105,SUP0105
R000106,P03878,2022-09-24,175,37,L106,SH106,SUP0106
R000107,P24973,2022-02-28,693,2,L107,SH107,SUP0107
R000108,P13679,2022-07-07,10,5,L108,SH108,SUP0108
R000109,P18407,2022-07-07,570,43,L109,SH109,SUP0109
R000110,P01354,2022-08-21,772,29,L110,SH110,SUP0110
R000111,P05677,2022-11-14,261,33,L111,SH111,SUP0111
R000112,P23336,2022-06-23,740,2,L112,SH112,SUP0112
R000113,P00831,2022-02-27,108,21,L113,SH113,SUP0113
R000114,P30498,2023-11-13,232,39,L114,SH114,SUP0114
R000115,P18235,2022-10-20,834,43,L115,SH115,SUP0115
R000116,P23450,2022-06-08,428,35,L116,SH116,SUP0116
R000117,P29468,2024-01-06,757,24,L117,SH117,SUP0117
R000118,P08788,2022-02-23,926,15,L118,SH118,SUP0118
R000119,P05502,2023-05-13,450,11,L119,SH119,SUP0119
R000120,P00011,2023-10-02,866,19,L120,SH120,SUP0120
R000121,P17850,2022-03-07,69,7,L121,SH121,SUP0121
R000122,P07500,2023-07-31,855,19,L122,SH122,SUP0122
R000123,P01265,2022-07-11,573,46,L123,SH123,SUP0123
R000124,P13948,2023-06-05,903,3,L124,SH124,SUP0124
R000125,P01219,2022-08-08,606,47,L125,SH125,SUP0125
R000126,P04364,2023-04-30,689,9,L126,SH126,SUP0126
R000127,P28250,2022-04-01,526,49,L127,SH127,SUP0127
R000128,P30919,2023-12-04,961,19,L128,SH128,SUP0128
R000129,P27281,2023-08-06,541,43,L129,SH129,SUP0129
R000130,P20378,2023-08-25,407,10,L130,SH130,SUP0130
R000131,P32731,2023-11-28,184,24,L131,SH131,SUP0131
R000132,P13535,2023-08-13,837,2,L132,SH132,SUP0132
R000133,P07308,2022-04-12,926,1,L133,SH133,SUP0133
R000134,P29335,2022-10-08,286,32,L134,SH134,SUP0134
R000135,P07283,2024-01-20,708,36,L135,SH135,SUP0135
R000136,P09026,2022-12-13,224,5,L136,SH136,SUP0136
R000137,P25759,2023-09-16,375,47,L137,SH137,SUP0137
R000138,P34007,2023-05-15,420,30,L138,SH138,SUP0138
R000139,P13850,2023-04-27,745,50,L139,SH139,SUP0139
R000140,P34406,2022-04-02,782,29,L140,SH140,SUP0140
R000141,P01164,2023-02-04,774,21,L141,SH141,SUP0141
R000142,P29376,2024-01-12,894,3,L142,SH142,SUP0142
R000143,P17823,2023-03-18,868,13,L143,SH143,SUP0143
R000144,P17341,2022-08-26,307,38,L144,SH144,SUP0144
R000145,P29343,2023-08-26,986,44,L145,SH145,SUP0145
R000146,P24488,2023-07-23,389,24,L146,SH146,SUP0146
R000147,P22549,2023-12-02,151,6,L147,SH147,SUP0147
R000148,P27794,2022-05-02,113,43,L148,SH148,SUP0148
R000149,P21687,2023-08-07,817,41,L149,SH149,SUP0149
R000150,P02005,2022-08-26,104,12,L150,SH150,SUP0150
R000151,P01019,2023-07-20,80,34,L151,SH151,SUP0151
R000152,P05574,2022-01-29,704,23,L152,SH152,SUP0152
R000153,P31575,2023-11-13,55,42,L153,SH153,SUP0153
R000154,P27704,2023-12-19,904,0,L154,SH154,SUP0154
R000155,P09750,2023-09-25,456,11,L155,SH155,SUP0155
R000156,P11528,2023-07-16,45,39,L156,SH156,SUP0156
R000157,P23477,2024-01-05,5,4,L157,SH157,SUP0157
R000158,P19845,2023-01-06,247,25,L158,SH158,SUP0158
R000159,P18134,2023-02-17,835,12,L159,SH159,SUP0159
R000160,P33339,2022-12-17,240,23,L160,SH160,SUP0160
R000161,P26092,2022-05-06,12,11,L161,SH161,SUP0161
R000162,P34367,2022-06-01,57,27,L162,SH162,SUP0162
R000163,P25405,2024-01-15,915,18,L163,SH163,SUP0163
R000164,P07197,2023-02-24,659,27,L164,SH164,SUP0164
R000165,P18591,2023-11-14,565,18,L165,SH165,SUP0165
R000166,P22831,2023-02-16,787,12,L166,SH166,SUP0166
R000167,P19884,2022-08-31,177,0,L167,SH167,SUP0167
R000168,P10224,2023-12-15,32,3,L168,SH168,SUP0168
R000169,P32634,2022-06-14,746,13,L169,SH169,SUP0169
R000170,P32558,2022-10-23,975,50,L170,SH170,SUP0170
R000171,P29342,2022-02-20,396,21,L171,SH171,SUP0171
R000172,P04503,2023-05-29,400,38,L172,SH172,SUP0172
R000173,P30161,2023-01-28,787,2,L173,SH173,SUP0173
R000174,P11495,2022-07-25,37,47,L174,SH174,SUP0174
R000175,P12804,2022-07-11,479,32,L175,SH175,SUP0175
R000176,P22963,2022-08-04,220,17,L176,SH176,SUP0176
R000177,P17254,2022-10-07,845,44,L177,SH177,SUP0177
R000178,P27027,2023-10-09,935,31,L178,SH178,SUP0178
R000179,P30573,2023-11-24,859,43,L179,SH179,SUP0179
R000180,P20997,2023-12-23,519,5,L180,SH180,SUP0180
R000181,P20492,2023-11-14,554,34,L181,SH181,SUP0181
R000182,P03504,2022-07-20,986,36,L182,SH182,SUP0182
R000183,P02718,2022-06-25,903,33,L183,SH183,SUP0183
R000184,P07038,2022-03-24,681,29,L184,SH184,SUP0184
R000185,P24129,2022-11-06,241,13,L185,SH185,SUP0185
R000186,P13837,2022-06-27,6,34,L186,SH186,SUP0186
R000187,P21925,2022-02-18,102,21,L187,SH187,SUP0187
R000188,P01486,2022-05-26,855,26,L188,SH188,SUP0188
R000189,P01891,2023-02-20,124,42,L189,SH189,SUP0189
R000190,P25268,2023-09-08,155,29,L190,SH190,SUP0190
R000191,P14317,2022-12-04,976,41,L191,SH191,SUP0191
R000192,P01609,2022-04-05,321,25,L192,SH192,SUP0192
R000193,P25201,2023-05-18,729,14,L193,SH193,SUP0193
R000194,P30150,2022-08-30,805,9,L194,SH194,SUP0194
R000195,P13932,2022-07-04,726,35,L195,SH195,SUP0195
R000196,P21154,2023-02-28,33,36,L196,SH196,SUP0196
R000197,P17028,2023-07-15,832,17,L197,SH197,SUP0197
R000198,P04991,2023-11-14,649,5,L198,SH198,SUP0198
R000199,P05358,2023-05-22,222,8,L199,SH199,SUP0199
R000200,P05462,2022-07-31,169,28,L200,SH200,SUP0200
R000201,P15099,2022-09-12,163,33,L201,SH201,SUP0201
R000202,P20140,2022-07-26,666,14,L202,SH202,SUP0202
R000203,P05784,2023-01-30,609,12,L203,SH203,SUP0203
R000204,P27420,2022-09-28,299,21,L204,SH204,SUP0204
R000205,P04308,2022-04-21,659,46,L205,SH205,SUP0205
R000206,P06839,2022-05-05,251,31,L206,SH206,SUP0206
R000207,P30324,2022-09-06,952,47,L207,SH207,SUP0207
R000208,P17274,2022-01-30,819,36,L208,SH208,SUP0208
R000209,P28262,2023-05-28,397,2,L209,SH209,SUP0209
R000210,P13654,2023-07-11,738,12,L210,SH210,SUP0210
R000211,P20291,2022-06-16,947,41,L211,SH211,SUP0211
R000212,P19450,2023-10-16,964,20,L212,SH212,SUP0212
R000213,P09175,2022-09-03,87,33,L213,SH213,SUP0213
R000214,P21551,2023-08-29,461,41,L214,SH214,SUP0214
R000215,P21220,2024-01-07,930,50,L215,SH215,SUP0215
R000216,P00826,2023-04-17,815,10,L216,SH216,SUP0216
R000217,P09617,2023-12-20,738,41,L217,SH217,SUP0217
R000218,P10080,2023-11-29,217,49,L218,SH218,SUP0218
R000219,P21355,2023-08-22,221,35,L219,SH219,SUP0219
R000220,P31022,2022-08-29,208,26,L220,SH220,SUP0220
R000221,P02692,2022-03-15,64,22,L221,SH221,SUP0221
R000222,P06637,2022-10-01,286,16,L222,SH222,SUP0222
R000223,P23091,2023-10-20,230,49,L223,SH223,SUP0223
R000224,P31567,2022-05-20,118,33,L224,SH224,SUP0224
R000225,P24642,2022-08-06,470,32,L225,SH225,SUP0225
R000226,P02633,2022-12-07,772,23,L226,SH226,SUP0226
R000227,P27563,2023-10-09,610,16,L227,SH227,SUP0227
R000228,P19301,2023-05-08,719,13,L228,SH228,SUP0228
R000229,P07202,2023-05-18,207,45,L229,SH229,SUP0229
R000230,P22690,2023-09-11,801,50,L230,SH230,SUP0230
R000231,P17005,2022-05-29,509,23,L231,SH231,SUP0231
R000232,P18842,2022-09-04,577,50,L232,SH232,SUP0232
R000233,P30387,2022-06-24,961,44,L233,SH233,SUP0233
R000234,P25202,2023-11-03,443,7,L234,SH234,SUP0234
R000235,P10327,2023-07-14,758,40,L235,SH235,SUP0235
R000236,P09271,2023-06-03,568,0,L236,SH236,SUP0236
R000237,P24872,2022-05-02,295,49,L237,SH237,SUP0237
R000238,P17766,2022-09-14,475,35,L238,SH238,SUP0238
R000239,P33940,2023-12-19,677,32,L239,SH239,SUP0239
R000240,P14188,2023-06-14,333,9,L240,SH240,SUP0240
R000241,P02165,2022-09-11,595,44,L241,SH241,SUP0241
R000242,P07543,2022-11-18,314,1,L242,SH242,SUP0242
R000243,P22427,2023-10-17,433,17,L243,SH243,SUP0243
R000244,P05503,2022-09-12,817,3,L244,SH244,SUP0244
R000245,P27291,2023-09-29,941,38,L245,SH245,SUP0245
R000246,P34245,2022-09-21,812,20,L246,SH246,SUP0246
R000247,P00385,2022-03-14,493,43,L247,SH247,SUP0247
R000248,P14087,2023-03-04,783,35,L248,SH248,SUP0248
R000249,P06437,2023-03-15,194,19,L249,SH249,SUP0249
R000250,P06176,2023-07-03,318,45,L250,SH250,SUP0250
R000251,P31782,2022-09-14,749,47,L251,SH251,SUP0251
R000252,P33063,2023-01-04,134,43,L252,SH252,SUP0252
R000253,P23656,2022-04-13,570,31,L253,SH253,SUP0253
R000254,P11706,2023-04-09,188,33,L254,SH254,SUP0254
R000255,P09589,2022-04-06,183,47,L255,SH255,SUP0255
R000256,P06293,2022-06-14,524,22,L256,SH256,SUP0256
R000257,P24950,2022-05-27,720,22,L257,SH257,SUP0257
R000258,P02154,2022-12-10,400,44,L258,SH258,SUP0258
R000259,P22038,2022-03-29,837,35,L259,SH259,SUP0259
R000260,P25408,2023-04-25,492,33,L260,SH260,SUP0260
R000261,P26740,2023-12-15,358,27,L261,SH261,SUP0261
R000262,P11705,2023-05-01,592,37,L262,SH262,SUP0262
R000263,P04472,2023-01-13,631,25,L263,SH263,SUP0263
R000264,P26225,2022-06-13,594,0,L264,SH264,SUP0264
R000265,P15631,2023-09-18,731,48,L265,SH265,SUP0265
R000266,P05314,2023-09-06,805,48,L266,SH266,SUP0266
R000267,P10987,2022-05-14,925,12,L267,SH267,SUP0267
R000268,P24146,2023-08-07,882,50,L268,SH268,SUP0268
R000269,P13467,2023-01-01,178,36,L269,SH269,SUP0269
R000270,P07672,2023-07-04,229,40,L270,SH270,SUP0270
R000271,P01794,2023-01-24,367,47,L271,SH271,SUP0271
R000272,P29707,2023-07-06,971,3,L272,SH272,SUP0272
R000273,P28025,2023-01-18,2,48,L273,SH273,SUP0273
R000274,P29231,2023-05-19,364,17,L274,SH274,SUP0274
R000275,P10042,2023-03-08,576,28,L275,SH275,SUP0275
R000276,P18626,2022-10-05,420,39,L276,SH276,SUP0276
R000277,P34277,2023-06-01,246,50,L277,SH277,SUP0277
R000278,P20065,2022-09-17,767,17,L278,SH278,SUP0278
R000279,P03749,2023-10-22,952,17,L279,SH279,SUP0279
R000280,P09512,2024-01-18,221,44,L280,SH280,SUP0280
R000281,P22668,2023-03-17,4,45,L281,SH281,SUP0281
R000282,P22060,2023-10-12,171,13,L282,SH282,SUP0282
R000283,P09869,2022-05-07,709,35,L283,SH283,SUP0283
R000284,P14818,2022-01-28,232,10,L284,SH284,SUP0284
R000285,P13168,2023-02-22,772,37,L285,SH285,SUP0285
R000286,P25092,2023-12-04,373,24,L286,SH286,SUP0286
R000287,P00411,2022-04-10,399,4,L287,SH287,SUP0287
R000288,P21398,2023-01-10,478,14,L288,SH288,SUP0288
R000289,P09411,2022-12-09,466,12,L289,SH289,SUP0289
R000290,P07003,2023-05-07,336,50,L290,SH290,SUP0290
R000291,P28838,2022-01-31,736,5,L291,SH291,SUP0291
R000292,P07308,2023-12-26,181,50,L292,SH292,SUP0292
R000293,P11123,2023-07-31,266,5,L293,SH293,SUP0293
R000294,P00124,2022-12-28,505,36,L294,SH294,SUP0294
R000295,P10043,2023-11-02,176,25,L295,SH295,SUP0295
R000296,P08560,2022-01-27,442,26,L296,SH296,SUP0296
R000297,P31608,2023-04-20,877,45,L297,SH297,SUP0297
R000298,P07399,2022-05-02,826,21,L298,SH298,SUP0298
R000299,P10852,2022-09-27,481,3,L299,SH299,SUP0299
R000300,P26637,2023-08-17,376,45,L300,SH300,SUP0300
R000301,P31451,2023-05-13,467,9,L301,SH301,SUP0301
R000302,P05440,2022-03-16,661,33,L302,SH302,SUP0302
R000303,P29187,2023-04-01,777,4,L303,SH303,SUP0303
R000304,P21340,2023-06-11,888,31,L304,SH304,SUP0304
R000305,P08398,2023-02-03,926,25,L305,SH305,SUP0305
R000306,P16808,2023-05-22,411,39,L306,SH306,SUP0306
R000307,P21923,2022-07-31,131,33,L307,SH307,SUP0307
R000308,P30869,2023-04-15,386,47,L308,SH308,SUP0308
R000309,P33515,2023-01-19,477,41,L309,SH309,SUP0309
R000310,P06795,2022-03-12,753,10,L310,SH310,SUP0310
R000311,P33675,2022-05-29,190,17,L311,SH311,SUP0311
R000312,P16790,2023-07-13,187,26,L312,SH312,SUP0312
R000313,P28472,2023-02-25,318,32,L313,SH313,SUP0313
R000314,P28036,2023-10-12,607,45,L314,SH314,SUP0314
R000315,P11204,2023-06-02,406,41,L315,SH315,SUP0315
R000316,P26478,2023-03-07,409,1,L316,SH316,SUP0316
R000317,P22048,2022-10-23,481,27,L317,SH317,SUP0317
R000318,P17540,2023-11-28,803,24,L318,SH318,SUP0318
R000319,P24681,2022-12-27,775,1,L319,SH319,SUP0319
R000320,P18966,2022-05-02,577,24,L320,SH320,SUP0320
R000321,P25318,2023-12-30,957,20,L321,SH321,SUP0321
R000322,P26214,2023-05-18,190,11,L322,SH322,SUP0322
R000323,P23635,2022-04-09,3,2,L323,SH323,SUP0323
R000324,P01769,2023-09-08,140,18,L324,SH324,SUP0324
R000325,P08011,2022-05-07,201,49,L325,SH325,SUP0325
R000326,P07735,2022-06-20,828,11,L326,SH326,SUP0326
R000327,P27266,2022-05-17,184,3,L327,SH327,SUP0327
R000328,P26422,2023-07-15,561,31,L328,SH328,SUP0328
R000329,P12765,2023-12-20,268,32,L329,SH329,SUP0329
R000330,P15197,2022-08-02,105,45,L330,SH330,SUP0330
R000331,P06871,2022-12-13,360,15,L331,SH331,SUP0331
R000332,P18771,2022-02-27,660,13,L332,SH332,SUP0332
R000333,P05026,2022-05-20,461,45,L333,SH333,SUP0333
R000334,P28873,2023-04-18,951,24,L334,SH334,SUP0334
R000335,P04689,2022-10-04,508,0,L335,SH335,SUP0335
R000336,P33835,2023-08-17,180,4,L336,SH336,SUP0336
R000337,P25669,2022-09-04,373,40,L337,SH337,SUP0337
R000338,P31144,2022-12-03,743,41,L338,SH338,SUP0338
R000339,P15492,2023-04-15,129,6,L339,SH339,SUP0339
R000340,P23613,2023-08-10,481,12,L340,SH340,SUP0340
R000341,P14418,2023-01-02,318,41,L341,SH341,SUP0341
R000342,P04537,2023-12-01,101,28,L342,SH342,SUP0342
R000343,P02336,2023-07-06,588,42,L343,SH343,SUP0343
R000344,P30317,2022-12-24,135,25,L344,SH344,SUP0344
R000345,P06596,2023-09-12,466,43,L345,SH345,SUP0345
R000346,P33898,2022-04-18,393,7,L346,SH346,SUP0346
R000347,P01731,2023-08-31,848,19,L347,SH347,SUP0347
R000348,P21340,2023-02-13,297,26,L348,SH348,SUP0348
R000349,P29266,2022-04-19,881,33,L349,SH349,SUP0349
R000350,P30847,2023-12-20,961,20,L350,SH350,SUP0350
R000351,P27509,2023-11-13,827,17,L351,SH351,SUP0351
R000352,P03175,2022-11-26,966,46,L352,SH352,SUP0352
R000353,P32844,2022-02-19,278,38,L353,SH353,SUP0353
R000354,P01045,2022-08-02,398,16,L354,SH354,SUP0354
R000355,P19144,2023-11-26,10,16,L355,SH355,SUP0355
R000356,P23871,2022-10-24,410,46,L356,SH356,SUP0356
R000357,P30727,2023-01-26,68,24,L357,SH357,SUP0357
R000358,P20688,2022-06-01,134,50,L358,SH358,SUP0358
R000359,P06784,2023-04-17,486,10,L359,SH359,SUP0359
R000360,P06084,2022-06-29,318,18,L360,SH360,SUP0360
R000361,P05501,2023-03-14,421,26,L361,SH361,SUP0361
R000362,P21581,2023-06-04,600,10,L362,SH362,SUP0362
R000363,P23215,2023-09-28,807,43,L363,SH363,SUP0363
R000364,P18050,2022-12-27,843,24,L364,SH364,SUP0364
R000365,P16142,2022-11-06,111,39,L365,SH365,SUP0365
R000366,P03159,2024-01-02,815,34,L366,SH366,SUP0366
R000367,P13463,2022-09-26,856,3,L367,SH367,SUP0367
R000368,P33205,2023-04-20,379,20,L368,SH368,SUP0368
R000369,P05081,2023-02-07,971,27,L369,SH369,SUP0369
R000370,P33296,2023-05-18,68,21,L370,SH370,SUP0370
R000371,P17403,2022-06-13,398,26,L371,SH371,SUP0371
R000372,P03788,2022-04-21,144,38,L372,SH372,SUP0372
R000373,P15453,2023-02-03,860,6,L373,SH373,SUP0373
R000374,P34215,2023-05-30,668,9,L374,SH374,SUP0374
R000375,P10633,2023-02-22,700,49,L375,SH375,SUP0375
R000376,P03972,2022-12-26,968,27,L376,SH376,SUP0376
R000377,P11652,2023-10-26,999,14,L377,SH377,SUP0377
R000378,P32304,2023-02-02,422,2,L378,SH378,SUP0378
R000379,P15109,2023-07-14,487,43,L379,SH379,SUP0379
R000380,P32092,2022-07-08,398,12,L380,SH380,SUP0380
R000381,P01768,2023-05-15,668,41,L381,SH381,SUP0381
R000382,P05718,2023-05-18,295,37,L382,SH382,SUP0382
R000383,P23212,2023-08-28,850,4,L383,SH383,SUP0383
R000384,P32927,2023-04-04,808,33,L384,SH384,SUP0384
R000385,P27145,2023-04-21,31,38,L385,SH385,SUP0385
R000386,P21951,2023-08-07,438,24,L386,SH386,SUP0386
R000387,P11289,2023-07-23,654,23,L387,SH387,SUP0387
R000388,P02280,2023-04-15,410,8,L388,SH388,SUP0388
R000389,P19835,2023-06-20,927,19,L389,SH389,SUP0389
R000390,P06213,2023-09-26,838,14,L390,SH390,SUP0390
R000391,P15184,2023-09-17,898,22,L391,SH391,SUP0391
R000392,P25426,2023-03-21,368,24,L392,SH392,SUP0392
R000393,P04185,2022-01-27,527,39,L393,SH393,SUP0393
R000394,P16956,2022-01-30,116,31,L394,SH394,SUP0394
R000395,P12008,2022-04-11,378,18,L395,SH395,SUP0395
R000396,P17866,2022-03-17,2,6,L396,SH396,SUP0396
R000397,P25550,2022-07-12,83,49,L397,SH397,SUP0397
R000398,P22436,2023-09-30,493,40,L398,SH398,SUP0398
R000399,P29358,2022-09-04,827,30,L399,SH399,SUP0399
R000400,P16023,2023-11-19,662,19,L400,SH400,SUP0400
R000401,P22551,2022-12-16,827,21,L401,SH401,SUP0401
R000402,P32771,2022-05-01,49,20,L402,SH402,SUP0402
R000403,P32346,2023-09-26,553,43,L403,SH403,SUP0403
R000404,P14314,2023-02-16,751,22,L404,SH404,SUP0404
R000405,P05297,2023-07-06,417,14,L405,SH405,SUP0405
R000406,P07051,2022-12-28,339,13,L406,SH406,SUP0406
R000407,P13052,2022-02-01,116,19,L407,SH407,SUP0407
R000408,P09581,2022-03-19,860,10,L408,SH408,SUP0408
R000409,P21297,2022-03-23,826,0,L409,SH409,SUP0409
R000410,P29653,2023-09-13,513,7,L410,SH410,SUP0410
R000411,P24229,2022-03-04,732,31,L411,SH411,SUP0411
R000412,P07587,2023-12-24,942,43,L412,SH412,SUP0412
R000413,P20549,2022-10-12,534,28,L413,SH413,SUP0413
R000414,P19159,2022-02-11,995,46,L414,SH414,SUP0414
R000415,P03011,2023-01-14,9,44,L415,SH415,SUP0415
R000416,P18887,2023-04-06,146,1,L416,SH416,SUP0416
R000417,P21914,2022-03-10,812,18,L417,SH417,SUP0417
R000418,P24812,2022-11-01,443,35,L418,SH418,SUP0418
R000419,P17629,2022-07-10,968,20,L419,SH419,SUP0419
R000420,P33944,2023-08-23,786,43,L420,SH420,SUP0420
R000421,P19740,2023-08-14,647,7,L421,SH421,SUP0421
R000422,P24686,2023-03-09,613,2,L422,SH422,SUP0422
R000423,P14826,2022-08-23,876,50,L423,SH423,SUP0423
R000424,P02989,2023-03-15,100,32,L424,SH424,SUP0424
R000425,P02001,2023-10-28,399,2,L425,SH425,SUP0425
R000426,P22896,2022-07-07,627,27,L426,SH426,SUP0426
R000427,P30828,2024-01-09,585,15,L427,SH427,SUP0427
R000428,P32569,2023-09-27,698,29,L428,SH428,SUP0428
R000429,P24604,2023-10-28,725,13,L429,SH429,SUP0429
R000430,P09468,2022-12-12,644,17,L430,SH430,SUP0430
R000431,P20680,2023-05-22,782,43,L431,SH431,SUP0431
R000432,P25783,2023-08-20,605,34,L432,SH432,SUP0432
R000433,P10715,2022-10-24,987,38,L433,SH433,SUP0433
R000434,P26841,2023-04-03,628,39,L434,SH434,SUP0434
