sales_id,product_id,sale_date,quantity_sold,sale_price_per_unit,customer_id,sales_region_id,salesperson_id
S030033,P05639,2023-11-27,85,592.63,C30033,R30033,SP30033
S030034,P03876,2024-01-05,389,599.92,C30034,R30034,SP30034
S030035,P04883,2022-06-30,163,781.34,C30035,R30035,SP30035
S030036,P01196,2022-03-20,321,750.73,C30036,R30036,SP30036
S030037,P22188,2023-11-29,44,880.24,C30037,R30037,SP30037
S030038,P06581,2023-02-27,444,769.81,C30038,R30038,SP30038
S030039,P28221,2022-03-14,483,509.52,C30039,R30039,SP30039
S030040,P02443,2023-10-21,424,937.28,C30040,R30040,SP30040
S030041,P28294,2023-07-30,42,944.39,C30041,R30041,SP30041
S030042,P07335,2023-08-08,345,584.27,C30042,R30042,SP30042
S030043,P01056,2024-01-18,245,977.76,C30043,R30043,SP30043
S030044,P34852,2024-01-17,267,506.41,C30044,R30044,SP30044
S030045,P28371,2023-07-25,218,597.84,C30045,R30045,SP30045
S030046,P30187,2022-12-21,299,725.92,C30046,R30046,SP30046
S030047,P32729,2023-09-13,399,604.67,C30047,R30047,SP30047
S030048,P18933,2023-07-28,322,824.49,C30048,R30048,SP30048
S030049,P01246,2023-05-30,285,634.4,C30049,R30049,SP30049
S030050,P32687,2023-04-04,146,619.31,C30050,R30050,SP30050
S030051,P01032,2023-11-24,85,611.75,C30051,R30051,SP30051
S030052,P28128,2023-10-13,271,527.17,C30052,R30052,SP30052
S030053,P30150,2023-03-02,359,632.49,C30053,R30053,SP30053
S030054,P23130,2023-01-29,435,571.99,C30054,R30054,SP30054
S030055,P20982,2022-05-30,480,940.03,C30055,R30055,SP30055
S030056,P33908,2022-08-06,285,984.36,C30056,R30056,SP30056
S030057,P13149,2023-06-05,164,571.04,C30057,R30057,SP30057
S030058,P32221,2023-10-17,425,527.26,C30058,R30058,SP30058
S030059,P29008,2022-01-31,424,931.4,C30059,R30059,SP30059
S030060,P10679,2022-06-13,372,890.34,C30060,R30060,SP30060
S030061,P04740,2023-04-20,176,786.39,C30061,R30061,SP30061
S030062,P11102,2023-06-16,280,620.04,C30062,R30062,SP30062
S030063,P14064,2022-06-12,456,800.68,C30063,R30063,SP30063
S030064,P05213,2022-04-14,38,646.24,C30064,R30064,SP30064
S030065,P22524,2022-11-30,394,631.58,C30065,R30065,SP30065
S030066,P23234,2022-05-07,313,687.01,C30066,R30066,SP30066
S030067,P00476,2022-12-18,267,863.41,C30067,R30067,SP30067
S030068,P00466,2022-02-25,215,667.41,C30068,R30068,SP30068
S030069,P04820,2022-09-18,116,823.72,C30069,R30069,SP30069
S030070,P10606,2022-09-18,422,846.49,C30070,R30070,SP30070
S030071,P03249,2022-06-01,45,777.23,C30071,R30071,SP30071
S030072,P05781,2022-07-16,257,605.1,C30072,R30072,SP30072
S030073,P20353,2023-09-02,7,661.04,C30073,R30073,SP30073
S030074,P30128,2023-12-23,166,524.05,C30074,R30074,SP30074
S030075,P08186,2022-10-17,453,823.81,C30075,R30075,SP30075
S030076,P02381,2023-09-17,295,929.27,C30076,R30076,SP30076
S030077,P07651,2023-11-28,77,778.88,C30077,R30077,SP30077
S030078,P08584,2022-08-02,296,852.81,C30078,R30078,SP30078
S030079,P08077,2023-09-13,171,875.82,C30079,R30079,SP30079
S030080,P09688,2022-03-20,33,756.44,C30080,R30080,SP30080
S030081,P15780,2022-03-25,217,570.23,C30081,R30081,SP30081
S030082,P11503,2022-10-14,300,544.63,C30082,R30082,SP30082
S030083,P32056,2022-08-03,314,560.01,C30083,R30083,SP30083
S030084,P15650,2023-10-30,359,640.75,C30084,R30084,SP30084
S030085,P16985,2022-07-17,2,626.52,C30085,R30085,SP30085
S030086,P19951,2023-11-30,473,952.03,C30086,R30086,SP30086
S030087,P17354,2022-02-20,50,836.5,C30087,R30087,SP30087
S030088,P09072,2023-06-04,438,645.31,C30088,R30088,SP30088
S030089,P18231,2022-10-30,40,742.93,C30089,R30089,SP30089
S030090,P12910,2022-05-25,209,751.58,C30090,R30090,SP30090
S030091,P23985,2023-05-31,488,747.46,C30091,R30091,SP30091
S030092,P12707,2023-07-11,473,863.02,C30092,R30092,SP30092
S030093,P28519,2023-07-01,410,790.79,C30093,R30093,SP30093
S030094,P07259,2023-11-30,497,740.03,C30094,R30094,SP30094
S030095,P08155,2023-08-05,208,637.19,C30095,R30095,SP30095
S030096,P03171,2022-11-18,28,686.56,C30096,R30096,SP30096
S030097,P02874,2023-05-29,328,675.32,C30097,R30097,SP30097
S030098,P29752,2022-08-21,496,583.8,C30098,R30098,SP30098
S030099,P11107,2023-09-10,310,691.26,C30099,R30099,SP30099
S030100,P34522,2022-11-22,243,840.47,C30100,R30100,SP30100
S030101,P29461,2022-04-11,489,753.01,C30101,R30101,SP30101
S030102,P28854,2022-07-25,429,514.94,C30102,R30102,SP30102
S030103,P08624,2022-08-16,347,600.59,C30103,R30103,SP30103
S030104,P23920,2022-02-19,476,585.51,C30104,R30104,SP30104
S030105,P04128,2023-05-25,136,655.99,C30105,R30105,SP30105
S030106,P08747,2022-05-30,440,887.85,C30106,R30106,SP30106
S030107,P16221,2023-03-24,187,978.33,C30107,R30107,SP30107
S030108,P23241,2023-12-20,345,508.92,C30108,R30108,SP30108
S030109,P34226,2023-04-07,87,981.68,C30109,R30109,SP30109
S030110,P10041,2023-01-18,268,559.06,C30110,R30110,SP30110
S030111,P05156,2023-07-02,490,637.06,C30111,R30111,SP30111
S030112,P06422,2023-09-20,369,588.66,C30112,R30112,SP30112
S030113,P04460,2023-01-20,192,732.11,C30113,R30113,SP30113
S030114,P28612,2022-02-08,19,790.56,C30114,R30114,SP30114
S030115,P31029,2023-11-21,181,602.61,C30115,R30115,SP30115
S030116,P02593,2023-06-24,244,500.14,C30116,R30116,SP30116
S030117,P00141,2022-10-27,107,630.92,C30117,R30117,SP30117
S030118,P27838,2023-03-01,64,816.89,C30118,R30118,SP30118
S030119,P04052,2023-01-12,201,623.51,C30119,R30119,SP30119
S030120,P03321,2022-06-09,385,552.19,C30120,R30120,SP30120
S030121,P33382,2022-07-06,303,984.67,C30121,R30121,SP30121
S030122,P31496,2023-09-02,52,950.35,C30122,R30122,SP30122
S030123,P24678,2022-12-29,105,594.46,C30123,R30123,SP30123
S030124,P15425,2022-09-13,10,805.46,C30124,R30124,SP30124
S030125,P22865,2023-10-24,116,992.6,C30125,R30125,SP30125
S030126,P30783,2022-11-14,317,678.87,C30126,R30126,SP30126
S030127,P11213,2023-06-09,83,702.91,C30127,R30127,SP30127
S030128,P23297,2023-02-12,358,644.91,C30128,R30128,SP30128
S030129,P19670,2022-05-27,350,692.17,C30129,R30129,SP30129
S030130,P09510,2023-03-31,206,530.56,C30130,R30130,SP30130
S030131,P00925,2022-10-15,407,528.9,C30131,R30131,SP30131
S030132,P07525,2022-03-14,124,886.12,C30132,R30132,SP30132
S030133,P00566,2023-07-02,88,683.03,C30133,R30133,SP30133
S030134,P15087,2022-10-13,407,841.15,C30134,R30134,SP30134
S030135,P19343,2023-09-01,308,592.88,C30135,R30135,SP30135
S030136,P24850,2023-06-17,8,660.16,C30136,R30136,SP30136
S030137,P10859,2022-05-20,353,824.93,C30137,R30137,SP30137
S030138,P13025,2022-11-30,234,860.32,C30138,R30138,SP30138
S030139,P00551,2022-05-19,81,528.19,C30139,R30139,SP30139
S030140,P12286,2023-04-19,236,673.16,C30140,R30140,SP30140
S030141,P23639,2022-04-24,487,751.25,C30141,R30141,SP30141
S030142,P22651,2023-08-08,134,802.7,C30142,R30142,SP30142
S030143,P13518,2022-03-26,295,658.19,C30143,R30143,SP30143
S030144,P25856,2022-07-17,423,714.07,C30144,R30144,SP30144
S030145,P34812,2023-11-15,370,810.81,C30145,R30145,SP30145
S030146,P23563,2023-12-13,490,930.79,C30146,R30146,SP30146
S030147,P07552,2023-12-14,494,769.86,C30147,R30147,SP30147
S030148,P18611,2022-05-08,68,766.65,C30148,R30148,SP30148
S030149,P25471,2022-12-13,424,822.64,C30149,R30149,SP30149
S030150,P01432,2023-05-23,33,527.01,C30150,R30150,SP30150
S030151,P24882,2022-11-25,383,911.71,C30151,R30151,SP30151
S030152,P01530,2022-12-16,39,619.27,C30152,R30152,SP30152
S030153,P04753,2023-03-10,350,561.21,C30153,R30153,SP30153
S030154,P09747,2022-09-13,188,556.14,C30154,R30154,SP30154
S030155,P27465,2022-12-20,130,781.65,C30155,R30155,SP30155
S030156,P25083,2023-01-17,71,817.31,C30156,R30156,SP30156
S030157,P17721,2023-10-30,348,774.26,C30157,R30157,SP30157
S030158,P04554,2023-01-15,95,994.55,C30158,R30158,SP30158
S030159,P04373,2023-01-03,28,842.71,C30159,R30159,SP30159
S030160,P21311,2022-02-27,464,914.29,C30160,R30160,SP30160
S030161,P33650,2023-11-24,238,725.76,C30161,R30161,SP30161
S030162,P06540,2023-04-02,76,626.68,C30162,R30162,SP30162
S030163,P21970,2022-10-21,83,647.88,C30163,R30163,SP30163
S030164,P11333,2023-11-15,137,766.52,C30164,R30164,SP30164
S030165,P12851,2023-07-19,380,839.41,C30165,R30165,SP30165
S030166,P10533,2022-02-03,399,972.46,C30166,R30166,SP30166
S030167,P25752,2023-06-20,12,931.14,C30167,R30167,SP30167
S030168,P23780,2022-02-09,482,922.96,C30168,R30168,SP30168
S030169,P21641,2023-03-14,2,798.34,C30169,R30169,SP30169
S030170,P11894,2023-11-29,63,724.84,C30170,R30170,SP30170
S030171,P25119,2023-04-20,50,900.11,C30171,R30171,SP30171
S030172,P30426,2023-07-19,405,832.86,C30172,R30172,SP30172
S030173,P33175,2022-03-22,255,680.03,C30173,R30173,SP30173
S030174,P19719,2023-03-03,429,672.34,C30174,R30174,SP30174
S030175,P31825,2023-08-04,230,628.94,C30175,R30175,SP30175
S030176,P32732,2023-12-07,210,765.98,C30176,R30176,SP30176
S030177,P19398,2023-01-10,25,902.74,C30177,R30177,SP30177
S030178,P29887,2022-11-14,64,650.53,C30178,R30178,SP30178
S030179,P17532,2023-04-09,51,735.75,C30179,R30179,SP30179
S030180,P32957,2022-03-04,233,844.14,C30180,R30180,SP30180
S030181,P25208,2022-07-06,65,866.71,C30181,R30181,SP30181
S030182,P25835,2023-06-20,464,821.04,C30182,R30182,SP30182
S030183,P33820,2022-03-13,466,933.94,C30183,R30183,SP30183
S030184,P33967,2022-06-24,105,794.84,C30184,R30184,SP30184
S030185,P13785,2023-10-14,43,800.36,C30185,R30185,SP30185
S030186,P20051,2023-02-12,48,863.52,C30186,R30186,SP30186
S030187,P07305,2022-10-23,366,883.49,C30187,R30187,SP30187
S030188,P19940,2023-07-25,74,997.01,C30188,R30188,SP30188
S030189,P00314,2022-03-29,303,711.92,C30189,R30189,SP30189
S030190,P15563,2023-01-28,400,976.25,C30190,R30190,SP30190
S030191,P08593,2023-10-08,499,764.83,C30191,R30191,SP30191
S030192,P01942,2022-10-20,496,995.59,C30192,R30192,SP30192
S030193,P22703,2024-01-14,62,833.32,C30193,R30193,SP30193
S030194,P23857,2023-06-09,373,866.77,C30194,R30194,SP30194
S030195,P22557,2023-09-26,34,964.05,C30195,R30195,SP30195
S030196,P23305,2023-12-28,496,967.81,C30196,R30196,SP30196
S030197,P24236,2023-06-16,277,856.06,C30197,R30197,SP30197
S030198,P24898,2023-07-30,71,925.65,C30198,R30198,SP30198
S030199,P27532,2023-12-03,68,726.41,C30199,R30199,SP30199
S030200,P26044,2022-05-01,315,501.89,C30200,R30200,SP30200
S030201,P14979,2022-04-05,28,964.8,C30201,R30201,SP30201
S030202,P11538,2022-09-05,275,776.46,C30202,R30202,SP30202
S030203,P03970,2024-01-15,242,980.9,C30203,R30203,SP30203
S030204,P23434,2022-06-07,240,705.67,C30204,R30204,SP30204
S030205,P05557,2023-02-10,89,856.74,C30205,R30205,SP30205
S030206,P28901,2023-05-31,85,757.89,C30206,R30206,SP30206
S030207,P08587,2022-08-18,253,509.47,C30207,R30207,SP30207
S030208,P16681,2023-12-14,192,588.31,C30208,R30208,SP30208
S030209,P33045,2023-12-25,419,774.19,C30209,R30209,SP30209
S030210,P21274,2022-05-28,118,827.0,C30210,R30210,SP30210
S030211,P08337,2023-05-06,202,748.17,C30211,R30211,SP30211
S030212,P09348,2022-12-21,57,766.17,C30212,R30212,SP30212
S030213,P07570,2022-07-18,32,988.2,C30213,R30213,SP30213
S030214,P00898,2022-04-18,202,613.12,C30214,R30214,SP30214
S030215,P06874,2022-04-18,146,533.74,C30215,R30215,SP30215
S030216,P00984,2023-02-13,166,891.47,C30216,R30216,SP30216
S030217,P23076,2023-01-23,194,895.99,C30217,R30217,SP30217
S030218,P15573,2022-05-15,334,986.2,C30218,R30218,SP30218
S030219,P02107,2022-11-14,9,747.46,C30219,R30219,SP30219
S030220,P22027,2022-03-18,189,865.15,C30220,R30220,SP30220
S030221,P32381,2023-12-04,59,528.12,C30221,R30221,SP30221
S030222,P23169,2022-04-09,381,768.59,C30222,R30222,SP30222
S030223,P03759,2023-09-29,471,523.57,C30223,R30223,SP30223
S030224,P32439,2022-05-10,407,944.92,C30224,R30224,SP30224
S030225,P10692,2023-04-16,305,597.53,C30225,R30225,SP30225
S030226,P06293,2023-06-20,313,573.1,C30226,R30226,SP30226
S030227,P05371,2023-09-25,307,650.74,C30227,R30227,SP30227
S030228,P25348,2023-07-29,413,829.3,C30228,R30228,SP30228
S030229,P25482,2023-04-30,92,980.85,C30229,R30229,SP30229
S030230,P16595,2023-09-22,30,941.66,C30230,R30230,SP30230
S030231,P21140,2022-10-25,270,712.11,C30231,R30231,SP30231
S030232,P20358,2023-04-17,355,649.55,C30232,R30232,SP30232
S030233,P14940,2022-05-29,447,709.26,C30233,R30233,SP30233
S030234,P08597,2023-06-03,93,817.01,C30234,R30234,SP30234
S030235,P27192,2023-06-18,314,676.76,C30235,R30235,SP30235
S030236,P07025,2023-10-27,86,845.77,C30236,R30236,SP30236
S030237,P06358,2023-05-10,447,713.88,C30237,R30237,SP30237
S030238,P30637,2023-10-13,49,829.93,C30238,R30238,SP30238
S030239,P04340,2022-09-10,238,907.69,C30239,R30239,SP30239
S030240,P00115,2023-03-18,281,959.98,C30240,R30240,SP30240
S030241,P10225,2023-04-10,253,600.58,C30241,R30241,SP30241
S030242,P32555,2023-07-20,155,705.56,C30242,R30242,SP30242
S030243,P01745,2022-02-26,94,740.55,C30243,R30243,SP30243
S030244,P12949,2023-09-22,45,741.11,C30244,R30244,SP30244
S030245,P16758,2022-12-01,32,914.99,C30245,R30245,SP30245
S030246,P17757,2023-12-16,370,859.26,C30246,R30246,SP30246
S030247,P32297,2022-03-01,7,617.98,C30247,R30247,SP30247
S030248,P17918,2023-05-27,222,611.02,C30248,R30248,SP30248
S030249,P20462,2023-10-20,275,776.14,C30249,R30249,SP30249
S030250,P08063,2023-07-08,90,740.23,C30250,R30250,SP30250
S030251,P08579,2024-01-08,56,984.64,C30251,R30251,SP30251
S030252,P10369,2023-12-04,466,955.86,C30252,R30252,SP30252
S030253,P34289,2022-07-29,218,848.09,C30253,R30253,SP30253
S030254,P25821,2022-11-07,427,604.56,C30254,R30254,SP30254
S030255,P06298,2023-06-19,69,719.75,C30255,R30255,SP30255
S030256,P32872,2022-12-03,459,531.74,C30256,R30256,SP30256
S030257,P17596,2023-04-04,287,663.25,C30257,R30257,SP30257
S030258,P05278,2023-06-26,29,664.7,C30258,R30258,SP30258
S030259,P04533,2023-09-02,322,770.81,C30259,R30259,SP30259
S030260,P30641,2023-12-09,276,973.86,C30260,R30260,SP30260
S030261,P30758,2022-09-26,210,609.46,C30261,R30261,SP30261
S030262,P27794,2022-05-10,368,883.84,C30262,R30262,SP30262
S030263,P19752,2023-04-22,15,735.59,C30263,R30263,SP30263
S030264,P08910,2022-12-13,392,521.99,C30264,R30264,SP30264
S030265,P25944,2023-12-11,246,805.29,C30265,R30265,SP30265
S030266,P08803,2023-04-07,445,974.81,C30266,R30266,SP30266
S030267,P17633,2022-11-25,193,775.88,C30267,R30267,SP30267
S030268,P06031,2022-05-18,438,584.55,C30268,R30268,SP30268
S030269,P08638,2022-12-19,295,806.4,C30269,R30269,SP30269
S030270,P28432,2023-01-05,43,800.9,C30270,R30270,SP30270
S030271,P11781,2022-10-07,441,901.89,C30271,R30271,SP30271
S030272,P08686,2023-09-28,387,608.37,C30272,R30272,SP30272
S030273,P12650,2023-06-03,497,636.97,C30273,R30273,SP30273
S030274,P13608,2023-02-02,421,864.5,C30274,R30274,SP30274
S030275,P06557,2022-02-06,385,972.3,C30275,R30275,SP30275
S030276,P30302,2023-07-12,222,880.85,C30276,R30276,SP30276
S030277,P27905,2023-05-31,103,841.36,C30277,R30277,SP30277
S030278,P10864,2022-06-21,17,656.77,C30278,R30278,SP30278
S030279,P02970,2023-10-05,464,861.5,C30279,R30279,SP30279
S030280,P23933,2023-09-02,238,860.4,C30280,R30280,SP30280
S030281,P21021,2022-06-04,110,798.3,C30281,R30281,SP30281
S030282,P15899,2023-11-08,431,951.3,C30282,R30282,SP30282
S030283,P16914,2022-06-02,423,620.08,C30283,R30283,SP30283
S030284,P22293,2022-04-14,499,513.08,C30284,R30284,SP30284
S030285,P31833,2023-11-29,298,980.96,C30285,R30285,SP30285
S030286,P19338,2023-01-09,308,797.46,C30286,R30286,SP30286
S030287,P11369,2023-12-11,198,957.09,C30287,R30287,SP30287
S030288,P29898,2022-06-18,91,823.81,C30288,R30288,SP30288
S030289,P27482,2022-03-19,4,766.25,C30289,R30289,SP30289
S030290,P05687,2022-07-17,363,997.53,C30290,R30290,SP30290
S030291,P15837,2023-05-22,33,889.52,C30291,R30291,SP30291
S030292,P01000,2024-01-25,249,782.0,C30292,R30292,SP30292
S030293,P34063,2022-02-26,344,578.7,C30293,R30293,SP30293
S030294,P21690,2022-02-27,202,702.68,C30294,R30294,SP30294
S030295,P04024,2022-09-22,105,965.56,C30295,R30295,SP30295
S030296,P03015,2023-04-08,444,815.34,C30296,R30296,SP30296
S030297,P30321,2023-06-21,131,552.6,C30297,R30297,SP30297
S030298,P21289,2022-02-11,441,997.31,C30298,R30298,SP30298
S030299,P30137,2023-11-29,201,924.8,C30299,R30299,SP30299
S030300,P03512,2022-04-11,37,919.17,C30300,R30300,SP30300
S030301,P28543,2023-10-10,16,678.22,C30301,R30301,SP30301
S030302,P16403,2023-02-21,165,780.32,C30302,R30302,SP30302
S030303,P05855,2022-04-18,156,663.8,C30303,R30303,SP30303
S030304,P17506,2023-10-31,442,893.47,C30304,R30304,SP30304
S030305,P18798,2022-03-04,126,553.79,C30305,R30305,SP30305
S030306,P00107,2023-06-23,444,848.53,C30306,R30306,SP30306
S030307,P09085,2023-02-22,44,555.86,C30307,R30307,SP30307
S030308,P32405,2023-12-13,298,802.41,C30308,R30308,SP30308
S030309,P05730,2023-03-30,201,769.76,C30309,R30309,SP30309
S030310,P06399,2023-01-13,305,732.59,C30310,R30310,SP30310
S030311,P04817,2022-08-05,79,915.43,C30311,R30311,SP30311
S030312,P02218,2022-11-09,89,867.48,C30312,R30312,SP30312
S030313,P21144,2023-06-25,340,715.3,C30313,R30313,SP30313
S030314,P24062,2022-08-26,380,917.33,C30314,R30314,SP30314
S030315,P24061,2023-04-25,294,833.9,C30315,R30315,SP30315
S030316,P34444,2022-02-11,430,576.76,C30316,R30316,SP30316
S030317,P06113,2023-01-28,124,595.66,C30317,R30317,SP30317
S030318,P24069,2023-07-23,484,507.68,C30318,R30318,SP30318
S030319,P21136,2022-12-28,143,661.04,C30319,R30319,SP30319
S030320,P09499,2024-01-14,476,732.01,C30320,R30320,SP30320
S030321,P26550,2022-09-28,228,655.26,C30321,R30321,SP30321
S030322,P04047,2023-11-05,280,776.71,C30322,R30322,SP30322
S030323,P11406,2023-04-13,384,900.95,C30323,R30323,SP30323
S030324,P04488,2023-09-17,471,590.19,C30324,R30324,SP30324
S030325,P10887,2022-04-20,228,736.73,C30325,R30325,SP30325
S030326,P34145,2022-12-23,53,721.26,C30326,R30326,SP30326
S030327,P18952,2023-01-30,278,538.15,C30327,R30327,SP30327
S030328,P17871,2023-06-16,386,851.52,C30328,R30328,SP30328
S030329,P12926,2023-12-02,270,804.15,C30329,R30329,SP30329
S030330,P11008,2023-07-12,161,979.96,C30330,R30330,SP30330
S030331,P11082,2022-03-10,483,906.03,C30331,R30331,SP30331
S030332,P23505,2023-03-24,300,761.19,C30332,R30332,SP30332
S030333,P14688,2022-11-21,132,506.4,C30333,R30333,SP30333
S030334,P03391,2022-09-25,273,906.76,C30334,R30334,SP30334
S030335,P07348,2023-05-19,397,951.07,C30335,R30335,SP30335
S030336,P12221,2022-06-01,326,555.35,C30336,R30336,SP30336
S030337,P02274,2023-08-27,116,758.95,C30337,R30337,SP30337
S030338,P33457,2022-10-15,168,902.1,C30338,R30338,SP30338
S030339,P12547,2023-07-23,359,643.86,C30339,R30339,SP30339
S030340,P00944,2022-03-28,297,898.01,C30340,R30340,SP30340
S030341,P28073,2023-08-12,319,847.56,C30341,R30341,SP30341
S030342,P06458,2022-04-02,234,538.04,C30342,R30342,SP30342
S030343,P26015,2023-02-20,213,917.45,C30343,R30343,SP30343
S030344,P24544,2023-09-12,107,972.33,C30344,R30344,SP30344
S030345,P12423,2022-04-17,468,675.41,C30345,R30345,SP30345
S030346,P12788,2022-03-02,214,816.52,C30346,R30346,SP30346
S030347,P05426,2023-10-01,119,579.78,C30347,R30347,SP30347
S030348,P17986,2023-04-25,60,522.68,C30348,R30348,SP30348
S030349,P11408,2022-12-06,237,525.74,C30349,R30349,SP30349
S030350,P26831,2022-02-13,188,595.42,C30350,R30350,SP30350
S030351,P20541,2022-10-05,72,985.87,C30351,R30351,SP30351
S030352,P15569,2023-01-20,43,625.14,C30352,R30352,SP30352
S030353,P06150,2023-09-19,224,625.32,C30353,R30353,SP30353
S030354,P23702,2022-07-31,409,814.86,C30354,R30354,SP30354
S030355,P26896,2023-10-07,490,903.55,C30355,R30355,SP30355
S030356,P20756,2023-02-03,286,890.99,C30356,R30356,SP30356
S030357,P10477,2023-02-20,233,533.41,C30357,R30357,SP30357
S030358,P13655,2022-11-04,442,830.52,C30358,R30358,SP30358
S030359,P13732,2023-11-22,478,959.62,C30359,R30359,SP30359
S030360,P03598,2023-03-16,273,530.72,C30360,R30360,SP30360
S030361,P21141,2023-04-15,129,650.09,C30361,R30361,SP30361
S030362,P11658,2023-05-09,234,507.28,C30362,R30362,SP30362
S030363,P29661,2022-03-23,353,725.8,C30363,R30363,SP30363
S030364,P32655,2023-03-12,91,540.97,C30364,R30364,SP30364
S030365,P19212,2022-04-27,477,650.53,C30365,R30365,SP30365
S030366,P12315,2023-07-04,204,550.26,C30366,R30366,SP30366
S030367,P20063,2023-11-29,318,979.21,C30367,R30367,SP30367
S030368,P08487,2022-02-20,81,533.42,C30368,R30368,SP30368
S030369,P20045,2022-08-25,221,935.67,C30369,R30369,SP30369
S030370,P02791,2023-02-26,49,929.41,C30370,R30370,SP30370
S030371,P23256,2023-11-01,138,535.33,C30371,R30371,SP30371
S030372,P03229,2022-02-20,347,756.38,C30372,R30372,SP30372
S030373,P04564,2022-07-28,435,946.73,C30373,R30373,SP30373
S030374,P29806,2023-06-10,325,604.81,C30374,R30374,SP30374
S030375,P01265,2023-07-09,448,584.11,C30375,R30375,SP30375
S030376,P18550,2022-05-19,452,817.85,C30376,R30376,SP30376
S030377,P02430,2023-05-03,368,909.2,C30377,R30377,SP30377
S030378,P19508,2023-07-19,397,661.83,C30378,R30378,SP30378
S030379,P10691,2022-04-16,410,691.69,C30379,R30379,SP30379
S030380,P28123,2022-08-12,102,506.9,C30380,R30380,SP30380
S030381,P03803,2022-05-20,191,710.33,C30381,R30381,SP30381
S030382,P13846,2022-04-16,84,883.32,C30382,R30382,SP30382
S030383,P29362,2023-05-10,283,982.31,C30383,R30383,SP30383
S030384,P21924,2023-06-04,173,950.82,C30384,R30384,SP30384
S030385,P33639,2022-12-05,475,795.9,C30385,R30385,SP30385
S030386,P13283,2022-03-04,228,948.16,C30386,R30386,SP30386
S030387,P17070,2022-10-09,77,789.01,C30387,R30387,SP30387
S030388,P13131,2023-10-16,30,802.16,C30388,R30388,SP30388
S030389,P04579,2022-02-21,499,892.06,C30389,R30389,SP30389
S030390,P30504,2023-11-01,492,940.79,C30390,R30390,SP30390
S030391,P30152,2023-11-18,343,873.76,C30391,R30391,SP30391
S030392,P17827,2023-02-03,48,557.67,C30392,R30392,SP30392
S030393,P25041,2022-07-19,26,862.31,C30393,R30393,SP30393
S030394,P22096,2022-09-21,425,717.42,C30394,R30394,SP30394
S030395,P27289,2023-12-03,388,676.73,C30395,R30395,SP30395
S030396,P33669,2023-11-21,392,822.87,C30396,R30396,SP30396
S030397,P06276,2023-01-28,370,880.92,C30397,R30397,SP30397
S030398,P18592,2022-11-12,161,918.05,C30398,R30398,SP30398
S030399,P25044,2023-06-23,444,952.92,C30399,R30399,SP30399
S030400,P01465,2023-03-02,241,701.14,C30400,R30400,SP30400
S030401,P00536,2023-10-31,31,865.47,C30401,R30401,SP30401
S030402,P19036,2023-07-19,462,696.59,C30402,R30402,SP30402
S030403,P18026,2023-03-11,487,576.79,C30403,R30403,SP30403
S030404,P22278,2022-05-23,248,947.73,C30404,R30404,SP30404
S030405,P30866,2023-02-26,345,840.38,C30405,R30405,SP30405
S030406,P06752,2022-10-19,152,776.23,C30406,R30406,SP30406
S030407,P16202,2022-08-08,262,736.57,C30407,R30407,SP30407
S030408,P01338,2022-10-21,84,588.94,C30408,R30408,SP30408
